Date,Predicted,RegimeCode
2018-11-29,43.139206,-1
2018-11-30,43.406593,0
2018-12-03,43.36547,0
2018-12-04,44.138046,-1
2018-12-06,43.489326,0
2018-12-07,42.8423,-1
2018-12-10,41.733574,-1
2018-12-11,41.33654,-1
2018-12-12,41.072643,-1
2018-12-13,41.01984,-1
2018-12-14,41.24886,-1
2018-12-17,40.660267,-1
2018-12-18,40.134754,-1
2018-12-19,40.172813,-1
2018-12-20,39.552345,-1
2018-12-21,38.694576,-1
2018-12-24,37.488953,-1
2018-12-26,36.40159,-1
2018-12-27,37.251194,-1
2018-12-28,37.634853,-1
2018-12-31,37.79098,-1
2019-01-02,38.043865,-1
2019-01-03,38.189873,-1
2019-01-04,36.20381,-1
2019-01-07,35.938507,-1
2019-01-08,35.884186,-1
2019-01-09,36.23915,-1
2019-01-10,36.761856,-1
2019-01-11,37.077175,-1
2019-01-14,37.01256,-1
2019-01-15,36.6602,-1
2019-01-16,36.878464,-1
2019-01-17,37.259663,-1
2019-01-18,37.566044,-1
2019-01-22,37.82771,-1
2019-01-23,37.487915,-1
2019-01-24,37.373123,-1
2019-01-25,37.176266,-1
2019-01-28,37.738583,-1
2019-01-29,37.857445,-1
2019-01-30,37.672905,-1
2019-01-31,38.943382,-1
2019-02-01,39.779068,-1
2019-02-04,40.147522,-1
2019-02-05,40.903465,-1
2019-02-06,41.659576,-1
2019-02-07,42.017483,-1
2019-02-08,41.728813,-1
2019-02-11,41.581223,-1
2019-02-12,41.395233,-1
2019-02-13,41.498425,-1
2019-02-14,41.472343,-1
2019-02-15,41.533154,-1
2019-02-19,41.51725,-1
2019-02-20,41.57163,-1
2019-02-21,41.745033,-1
2019-02-22,41.706055,-1
2019-02-25,41.923973,-1
2019-02-26,42.205864,-1
2019-02-27,42.35328,-1
2019-02-28,42.483376,-1
2019-03-01,42.31784,-1
2019-03-04,42.46046,-1
2019-03-05,42.661404,-1
2019-03-06,42.716297,-1
2019-03-07,42.60042,-1
2019-03-08,42.272198,-1
2019-03-11,42.160732,-1
2019-03-12,42.90597,-1
2019-03-13,43.56773,-1
2019-03-14,43.97221,-1
2019-03-15,44.406403,-1
2019-03-18,44.92144,-1
2019-03-19,45.413208,-1
2019-03-20,45.444736,-1
2019-03-21,45.64346,-1
2019-03-22,46.65216,-1
2019-03-25,46.642593,-1
2019-03-26,46.271553,-1
2019-03-27,45.823147,-1
2019-03-28,45.83147,-1
2019-03-29,45.897736,-1
2019-04-01,46.0928,-1
2019-04-02,46.359547,-1
2019-04-03,46.850365,-1
2019-04-04,47.26503,-1
2019-04-05,47.49603,-1
2019-04-08,47.762325,-1
2019-04-09,48.292946,-1
2019-04-10,48.47689,-1
2019-04-11,48.686363,-1
2019-04-12,48.567112,-1
2019-04-15,48.481167,-1
2019-04-16,48.49124,-1
2019-04-17,48.505062,-1
2019-04-18,49.018757,-1
2019-04-22,49.38331,-1
2019-04-23,49.629513,-1
2019-04-24,50.121094,-1
2019-04-25,50.322178,-1
2019-04-26,50.15117,0
2019-04-29,49.92098,-1
2019-04-30,49.852077,-1
2019-05-01,49.31633,-1
2019-05-02,50.326134,-1
2019-05-03,50.712135,0
2019-05-06,51.189583,0
2019-05-07,50.988598,0
2019-05-08,50.118633,0
2019-05-09,49.680237,-1
2019-05-10,49.221348,0
2019-05-13,48.64504,0
2019-05-14,46.868343,0
2019-05-15,46.3564,-1
2019-05-16,46.49699,-1
2019-05-17,46.492336,-1
2019-05-20,46.337753,0
2019-05-21,45.48052,0
2019-05-22,45.49926,0
2019-05-23,45.062614,0
2019-05-24,44.421898,0
2019-05-28,44.0219,0
2019-05-29,43.755035,0
2019-05-30,43.52818,0
2019-05-31,43.545887,0
2019-06-03,43.145412,0
2019-06-04,42.700813,0
2019-06-05,43.323734,0
2019-06-06,44.05988,0
2019-06-07,44.75794,0
2019-06-10,45.724007,0
2019-06-11,46.505974,-1
2019-06-12,47.148026,-1
2019-06-13,47.35491,-1
2019-06-14,47.41836,0
2019-06-17,47.25478,0
2019-06-18,47.31665,0
2019-06-19,47.958576,0
2019-06-20,48.21648,1
2019-06-21,48.519676,1
2019-06-24,48.573742,1
2019-06-25,48.556984,1
2019-06-26,48.150505,1
2019-06-27,48.493153,1
2019-06-28,48.691795,1
2019-07-01,48.5356,1
2019-07-02,48.916904,1
2019-07-03,49.282207,1
2019-07-05,49.670124,1
2019-07-08,49.82711,1
2019-07-09,49.33295,1
2019-07-10,49.22368,1
2019-07-11,49.4594,1
2019-07-12,49.396378,1
2019-07-15,49.551422,1
